ItemID,ItemName,Category,UoM,UnitPriceUSD,UnitPriceIDR,MinStock,LastStock,Location,Photo
13.0024,Air Filter - TOYOTA 17801-17020,,,0,,,1,WH - PASON/G,
13.0025,Hyd. Element - FLEETGUARD HF6202,,,0,,,2,WH - PASON/G,
13.0026,Cup Bearing Charging Pump for. MISSIOM PUMP 200 SERIES,,,0,,,1,WH - PASON/G,
13.0027,Shaft Sleeve for. MISSIOM PUMP 200 SERIES,,,0,,,3,WH - PASON/G,
13.0028,Gland Packing for. MISSIOM PUMP 200 SERIES,,,0,,,14,WH - PASON/G,
13.0029,Aif Filter HATZ 50426000.1001 for. H.P.U Mud Tank,,,0,,,2,WH - PASON/G,
13.003,Element Filter - YANMAR 114250-12581,,,0,,,2,WH - PASON/G,
13.0031,"Fuel Lift Pump - MF ELECTRICAL ""EMMARK"" EM9627 for. Genset Mini Camp",,,0,,,1,WH - PASON/G,
13.0032,Oil Filter - DONALDSON P550920,,,0,,,2,WH - PASON/G,
13.0033,Element Filter CP - SUBARU 243-326000-08,,,0,,,1,WH - PASON/G,
13.0034,Fuel Filter - FLEETGUARD FF5612,,,0,,,9,WH - PASON/H,
13.0035,Cooland Filter - FLEETGUARD WF2075 for. Main Engine RIG,,,0,270000,,3,WH - PASON/H,
13.0036,Lube/Oil Filter - DONALDSON P554403,,,0,,,6,WH - PASON/H,
13.0037,Lube/Oil Filter - FLEETGUARD LF16012 for. Genset INFINITE,,,0,236250,,4,WH - PASON/H,
13.0038,Dual / Water Separator - DONALDSON / FLEETGUARD P551354 / FS20009 for. White Engine Mini Camp,,,0,915300,,2,WH - PASON/H,
13.0039,Fuel / Water Separator - FLEETGUARD FS19587 for. Genset INFINITE,,,0,229500,,6,WH - PASON/H,
13.004,"Element Separator P55 2020-TM-OR (20 Micron)""DONALDSON""",,,0,243000,,4,WH - PASON/H,
13.0041,Fuel Filter - FLEETGUARD FF246,,,0,,,9,WH - PASON/H,
13.0042,Air Filter - FLEETGUARD AF1605 for. Main Engine RIG,,,0,2130300,,2,WH - PASON/I,
13.0043,Air Filter - DONALDSON P182052,,,0,,,1,WH - PASON/I,
13.0044,Air Filter - DONALDSON P822768,,,0,,,1,WH - PASON/I,
